image_path,status,average_score,fascination_score,being_away_score,coherence_score,scope_score,reason_fascination,reason_being_away,reason_coherence,reason_scope
202212_113.9494489_22.5835412.png,success,0.52421,0.51003,0.26034,0.78289,0.54356,"The busy urban intersection offers numerous stimuli, such as moving vehicles, pedestrians, traffic lights, and billboards, which can capture attention and reduce boredom. However, the overwhelming nature of these stimuli may lead to cognitive fatigue rather than deep engagement, resulting in moderate fascination.","The environment is highly stimulating and demanding, with constant activity and noise from traffic and signage. It does not provide a sense of refuge from daily demands or a break from mental tasks, making it difficult to feel 'away' from stressors.","Despite the complexity, the scene exhibits clear organization: structured lanes, pedestrian crossings, traffic signals, and orderly building arrangements create a logical flow. This coherence helps individuals understand and navigate the space easily.","The wide intersection allows for movement in multiple directions, with visible pathways and open areas. While not expansive, the layout provides sufficient spatial freedom for exploration within the urban context."
202212_113.9239898_22.504820799999997.png,success,0.53306,0.40105,0.50866,0.91635,0.30619,"The scene is a busy urban intersection with multiple stimuli such as vehicles, pedestrians, traffic lights, and varied architecture, which may capture attention but does not offer deep or sustained fascination. The visual complexity is high, but it lacks the natural elements or quiet beauty that typically foster effortless engagement.","While the environment is an urban space with moderate activity, it provides some psychological distance from daily demands due to its organized layout and greenery. However, the presence of traffic and constant movement limits its ability to serve as a true refuge from stressors.","The physical arrangement of the space is highly ordered: clear road markings, structured buildings, visible pedestrian crossings, and consistent architectural styles create a sense of logical organization. This coherence makes the environment easy to navigate and understand.","The wide-angle view shows a large intersection with multiple lanes and surrounding buildings, suggesting spatial openness. However, the dense urban setting and limited sightlines restrict the perception of expansive, unbounded space, limiting the feeling of freedom to explore."
202103_113.9317217_22.5611119.png,success,0.53018,0.6207,0.60883,0.45825,0.43295,"The presence of lush green trees and a well-maintained circular garden provides visual interest, drawing attention to natural elements and creating a sense of engagement that reduces boredom.","The shaded, tree-lined environment offers a respite from urban noise and demands, allowing individuals to mentally detach from daily stressors and feel a sense of refuge.","While the layout appears organized with clear pedestrian crossings and structured pathways, the mix of buildings, fences, and parked vehicles creates some visual clutter, reducing the sense of clear order.","The open intersection and visible pathways suggest potential for movement, but the surrounding structures and traffic infrastructure limit the perceived expansiveness and freedom of exploration."
202212_113.8455067_22.571828900000003.png,success,0.42098,0.51685,0.39646,0.45829,0.3123,"The scene is visually stimulating with numerous elements drawing attention: a blue truck, pedestrians, traffic signs, red flags, and diverse architecture. The dynamic activity and variety of stimuli make it hard to be bored, supporting high fascination.","Despite the greenery, the environment is highly active with heavy traffic, loud vehicles, and dense buildings. It lacks tranquility and feels like an extension of daily demands, making it difficult to feel 'away' from urban stressors.","The layout appears organized with clear road markings, structured lanes, and orderly building placement. The presence of infrastructure like the overpass and consistent signage contributes to a sense of logical arrangement.","While the view is wide, movement is constrained by traffic, barriers, and dense structures. The space feels limited in exploration potential due to the narrow roads and lack of open areas, reducing perceived scope."
202211_113.836346_22.638564300000002.png,success,0.53037,0.40869,0.39645,0.56514,0.75118,"The scene contains dynamic elements like moving vehicles and varied urban structures, but the constant traffic noise and visual clutter reduce its ability to capture attention naturally. While greenery provides some visual interest, the overall environment is dominated by human-made stimuli, making it less inherently fascinating.","The busy road with heavy traffic and surrounding high-rise buildings create a stimulating, demanding environment rather than a refuge. The presence of construction and active transportation suggests a place where attention is frequently required, reducing the sense of escape from daily demands.","The layout shows a clear organization: lanes are well-defined, traffic flows in an orderly manner, and buildings are arranged systematically. The integration of green spaces along the roadside adds structure, contributing to a sense of order and predictability in the physical arrangement.","The wide-angle view reveals a large expanse of road stretching into the distance, with multiple lanes and visible pathways for movement. The open sky and unobstructed horizon allow for exploration in various directions, giving a strong impression of spatial openness."
202212_113.9224188_22.538887600000006.png,success,0.73278,0.78221,0.71627,0.67185,0.76076,"The scene offers diverse visual stimuli, including the contrast between modern architecture and lush greenery, active pedestrians, and dynamic traffic, which captures attention and reduces boredom.","Despite urban activity, the presence of a park in the background and tree-lined streets provides a sense of escape from daily demands, offering psychological respite.","The layout appears organized with clear road markings, structured buildings, and defined pedestrian zones, contributing to a sense of order and predictability.","The wide intersection and open space allow for movement in multiple directions, with visible pathways and distant views enhancing the feeling of expansiveness."
202212_113.8790194_22.5608856.png,success,0.524,0.6256,0.26437,0.44692,0.75914,"The scene is visually stimulating with multiple elements drawing attention: moving vehicles, pedestrians, a delivery rider, traffic lights, and diverse architectural forms. The presence of greenery and activity creates a dynamic environment that is hard to be bored in, supporting high fascination.","Despite the greenery, the space is highly urbanized with constant traffic, construction workers, and dense buildings. It lacks the quiet or secluded qualities needed to feel like a refuge from daily demands, resulting in low perceived being-away.","The layout shows clear organization with designated lanes, crosswalks, and traffic signals, indicating a logical structure. However, the sheer density and complexity of elements (cars, people, signs) create visual clutter, reducing the sense of order and coherence.","The panoramic view reveals a vast urban landscape with wide roads, distant skyscrapers, and open spaces, suggesting ample room for movement and exploration. This expansive vista provides a strong sense of spatial freedom."
202103_113.85770470000001_22.582482999999996.png,success,0.51932,0.70361,0.28128,0.65889,0.43349,"The street is visually stimulating with numerous elements drawing attention: bright signage, diverse storefronts, pedestrians, vehicles, and greenery. This constant activity creates a sense of novelty and engagement, making it hard to be bored and aligning with high fascination.","The environment is characterized by high levels of urban noise, traffic, and visual clutter. It lacks the quiet or seclusion needed to feel like a refuge from daily demands, resulting in low scores for being-away.","Despite the density, there is a clear functional order. The layout follows a logical pattern with buildings lining the street, shops on the ground floor, and residential units above. The arrangement feels organized and predictable, supporting coherence.","The view is constrained by tall buildings and narrow streets, limiting the sense of open space. While one can walk along the street, the physical boundaries restrict exploration in many directions, leading to a moderate score."
202211_114.14458594103891_22.691730256908752.png,success,0.42812,0.4065,0.89957,0.21749,0.18891,"The scene offers moderate fascination due to the colorful murals on the building and the natural elements like trees, which provide visual interest. However, the urban setting with traffic and infrastructure limits the depth of engagement.","The tree-lined road and shaded environment create a sense of refuge from urban demands, offering a peaceful retreat that allows mental disengagement from daily stressors.","The space lacks clear organization; the mix of construction barriers, varied building styles, and uneven greenery creates visual clutter, reducing the perception of order.","The narrow road and confined layout restrict movement and exploration, limiting the sense of openness and spatial freedom."
202103_113.8106956_22.774374599999994.png,success,0.54989,0.51647,0.28565,0.75462,0.64282,"The scene is visually stimulating with numerous elements like moving vehicles, pedestrians, traffic signals, and commercial signs, which can capture attention and reduce boredom. However, the high level of activity may also lead to sensory overload, limiting deep fascination.","The environment is highly urban and active, with constant noise, movement, and demands from traffic and commerce, making it difficult to feel a sense of refuge or escape from daily stressors.","The layout is well-organized with clear road markings, crosswalks, traffic lights, and structured buildings, allowing for easy navigation and understanding of spatial relationships, contributing to a strong sense of order.","The wide-angle view reveals multiple lanes, pathways, and visible areas extending into the distance, offering a sense of openness and potential for movement in various directions, though constrained by infrastructure."
