image_path,text
D:/A_Research/A_doing_research/20250804_LLM_campus_restoration/shanghai/test//201311_113.8327226_22.588928800000005.png,"This image taken in Shenzhen. This street view image shows a quiet road bordered by tall trees on the left and a low wall on the right. The wall features red painted characters, likely Chinese. The road is divided by a faded center line, suggesting light traffic. Shadows of vehicles and a person are visible in the foreground, implying the photo was taken from a moving car. The sky is clear and blue, and the surroundings convey a sense of calm. The trees create shade on one side, and there is greenery in the distance beyond the wall. It appears to be a rural or suburban area. The restorative indicator scores are:
- Being-away: 0.49643
- Coherence: 0.25129
- Scope: 0.09495
- Fascination: 0.07976
- Average Score: 0.23061"
D:/A_Research/A_doing_research/20250804_LLM_campus_restoration/shanghai/test//201311_113.83766518162263_22.641416403895732.png,"This image taken in Shenzhen. This street view image shows a wide highway surrounded by greenery and mountains in the distance, with a clear blue sky overhead. Large white Chinese characters are painted on the asphalt, marking lanes and directions. A green soundproof barrier runs along the road on one side, separating the highway from vegetation. There are a few vehicles, including cars and trucks, dispersed across the lanes. Lamp posts line both sides of the highway, and a metal overhead road sign structure is visible. The environment is clean and orderly, reflecting a spacious, open road typical of a suburban or semi-rural area. The restorative indicator scores are:
- Being-away: 0.07663
- Coherence: 0.73336
- Scope: 0.10201
- Fascination: 0.08990
- Average Score: 0.25048"
D:/A_Research/A_doing_research/20250804_LLM_campus_restoration/shanghai/test//201311_114.0367137_22.625328199999995.png,"This image taken in Shenzhen. This street view shows a residential area with apartment buildings on both sides, featuring green windows and balconies with hanging laundry. On the left, a small gated garden and villa can be seen. The street is lined with trees, creating a shaded atmosphere. Vehicles, including white cars and a parked silver truck, are visible. Few pedestrians, including a child in a stroller and individuals near a motorbike, add activity to the scene. Nearby fencing separates sidewalks from the road. The environment feels urban yet calm, with clean pavement and maintained greenery around the area. The restorative indicator scores are:
- Being-away: 0.67877
- Coherence: 0.80248
- Scope: 0.53111
- Fascination: 0.60553
- Average Score: 0.65447"
D:/A_Research/A_doing_research/20250804_LLM_campus_restoration/shanghai/test//201311_113.9022082_22.590201799999996.png,"This image taken in Shenzhen. This street view showcases a well-maintained multi-lane road bordered by greenery on both sides. A transparent noise barrier with a grid structure separates the road from a lush area with trees. Vehicles, including a white car and a red sedan, travel under bright sunlight beneath scattered clouds and a clear blue sky. The road markings are clearly visible, guiding traffic. Utility poles and a billboard structure stand in the distance. The environment blends urban infrastructure with natural green surroundings, creating a balanced and orderly scene. The restorative indicator scores are:
- Being-away: 0.08228
- Coherence: 0.11156
- Scope: 0.10714
- Fascination: 0.10662
- Average Score: 0.10190"
D:/A_Research/A_doing_research/20250804_LLM_campus_restoration/shanghai/test//201311_113.87865392033376_22.61317748414232.png,"This image taken in Shenzhen. This street view image shows a dual carriageway flanked by dense greenery on both sides, likely in a suburban or semi-rural area. The road is wide with multiple lanes, separated by a central divider with hedges and fencing. Several cars are visible traveling in both directions, including a black car in the foreground on the right. Lamp posts line the road, and the landscape features lush trees under a bright blue sky with scattered clouds. Mountains are visible in the distance, creating a scenic backdrop. The perspective suggests the image is captured from a vehicle on the road. The restorative indicator scores are:
- Being-away: 0.49730
- Coherence: 0.10541
- Scope: 0.43048
- Fascination: 0.09762
- Average Score: 0.28270"
D:/A_Research/A_doing_research/20250804_LLM_campus_restoration/shanghai/test//201311_113.9824091_22.594394199999996.png,"This image taken in Shenzhen. This street view shows a contrasting urban setting. On the left, there are gated premises with lush greenery and enclosed spaces. The pathway leads onward, flanked by dense vegetation, offering a feeling of nature. On the right, the view transitions to modern urban development with tall residential buildings, a cleared construction site, and a landscaped pathway. People are visible, providing a human element in the scene, adding vibrancy to the outdoor setting. The bright blue sky suggests good weather, highlighting the structures and natural surroundings. The perspective is dynamic, integrating both tranquility and bustling urban progress. The restorative indicator scores are:
- Being-away: 0.67928
- Coherence: 0.25109
- Scope: 0.63184
- Fascination: 0.73592
- Average Score: 0.57453"
D:/A_Research/A_doing_research/20250804_LLM_campus_restoration/shanghai/test//201311_113.97215286575438_22.599851368800312.png,"This image taken in Shenzhen. The street view image depicts a serene tree-lined urban road, flanked by red brick sidewalks on both sides. Tall green trees provide shade, with their dense foliage creating a lush and tranquil atmosphere. Metal fences enclose a wooded area, possibly a park, supplying a natural touch to the surroundings. The road is smooth and clean, marked with yellow striped dividers and traffic posts for safety. A white vehicle is visible ahead, and the setting feels organized and calm. The lack of heavy traffic signifies peace and simplicity, making this street ideal for walking or cycling in a verdant environment. The restorative indicator scores are:
- Being-away: 0.67931
- Coherence: 0.55498
- Scope: 0.63128
- Fascination: 0.41296
- Average Score: 0.56963"
D:/A_Research/A_doing_research/20250804_LLM_campus_restoration/shanghai/test//201311_113.9934635_22.605469299999996.png,"This image taken in Shenzhen. This street view captures a sunny rural or suburban area featuring a narrow paved road flanked by dense greenery and wire fencing on both sides. Yellow pedestrian crossing markings are visible on the left, while trees and bushes dominate the landscape. On the right side, a blue vehicle moves down the road, illuminated by streetlamps. In the background, faint silhouettes of buildings and distant mountains can be seen under a clear sky. The scene appears tranquil and minimally urbanized, with nature playing a significant role in shaping the environment. The restorative indicator scores are:
- Being-away: 0.59193
- Coherence: 0.11689
- Scope: 0.83836
- Fascination: 0.11465
- Average Score: 0.41546"
D:/A_Research/A_doing_research/20250804_LLM_campus_restoration/shanghai/test//201311_113.882861_22.6128348.png,"This image taken in Shenzhen. The image depicts a sunny street view surrounded by lush greenery featuring palm trees, manicured shrubs, and large trees. To the left, a white multi-story building displays signage in Chinese, while further left, another structure with a red roof stands. A clean asphalt road with marked lanes runs through, bordered by brick sidewalks. On the right, a fenced area, possibly sports courts, is visible alongside landscaped paths. The atmosphere appears serene, with clear skies and vibrant vegetation indicative of a well-maintained environment, possibly part of a campus or residential area. The vantage point suggests the perspective from a vehicle. The restorative indicator scores are:
- Being-away: 0.67907
- Coherence: 0.64278
- Scope: 0.32693
- Fascination: 0.73382
- Average Score: 0.59565"
D:/A_Research/A_doing_research/20250804_LLM_campus_restoration/shanghai/test//201311_114.07813510000001_22.5592236.png,"This image taken in Shenzhen. This image shows a lively intersection in an urban area with parked cars, pedestrians, and light traffic. Trees provide shade, lining both sides of the streets. The corner features shops with colorful signage, suggesting a commercial zone. A mix of residential and business settings is visible in the architecture. People are seen walking along the sidewalks, and the environment appears casual and bustling, typical of a city. The streets are clean and well-maintained, with yellow markings on the ground and crossings visible. The scene captures the atmosphere of daily life, with vehicles and pedestrians interacting harmoniously. The restorative indicator scores are:
- Being-away: 0.29302
- Coherence: 0.34804
- Scope: 0.43021
- Fascination: 0.73686
- Average Score: 0.45203"
D:/A_Research/A_doing_research/20250804_LLM_campus_restoration/shanghai/test//201311_114.16919617982792_22.62714279983004.png,"This image taken in Shenzhen. This street view image showcases a wide highway flanked by lush greenery and small hills under a bright blue sky with scattered clouds. The road, divided by a median with shrubs, features several lanes and is occupied by vehicles, including a visible orange car. To the left, sunlight filters through the trees, casting shadows across the pavement. The image captures a peaceful moment on the road, with open surroundings and a natural landscape creating a serene, scenic ambiance. Guardrails line the edges, ensuring safety, as the highway appears to stretch into the distance. The restorative indicator scores are:
- Being-away: 0.49593
- Coherence: 0.25463
- Scope: 0.32651
- Fascination: 0.11767
- Average Score: 0.29869"
D:/A_Research/A_doing_research/20250804_LLM_campus_restoration/shanghai/test//201311_114.1708255_22.6072058.png,"This image taken in Shenzhen. The street view shows a sunny urban area with residential buildings on the left and greenery on the right. Cars are parked along the roadside, and some vehicles are waiting at the intersection. A pedestrian crossing is visible, marked with signs. Trees provide shade on one side, and a cyclist rides along the sidewalk near the greenery. The scene features a mix of urban and rural elements, with utility poles lining the road and open land fenced off. The atmosphere appears calm, with scattered activity from pedestrians, cyclists, and vehicles. The restorative indicator scores are:
- Being-away: 0.59231
- Coherence: 0.25485
- Scope: 0.32675
- Fascination: 0.33733
- Average Score: 0.37781"
D:/A_Research/A_doing_research/20250804_LLM_campus_restoration/shanghai/test//201311_114.158799_22.6090681.png,"This image taken in Shenzhen. This street view image shows a wide-open intersection under a bright, sunny sky. On the left, there’s a large white building, likely a bus station or transport hub, with parked vehicles. A pedestrian and traffic signs are visible near trees that line the street. Billboards and greenery brighten the foreground, including a prominent advertisement with Chinese characters. To the right, buses, mid-rise buildings, palm trees, and distant hills create an urban yet scenic atmosphere. The perspective includes part of a yellow car hood at the bottom. The road is relatively empty with a few pedestrians dotted around the area. The restorative indicator scores are:
- Being-away: 0.09145
- Coherence: 0.34832
- Scope: 0.72335
- Fascination: 0.77476
- Average Score: 0.48447"
D:/A_Research/A_doing_research/20250804_LLM_campus_restoration/shanghai/test//201312_113.8235017_22.698809100000002.png,"This image taken in Shenzhen. This image depicts a busy urban street lined with mid-rise buildings hosting various shops and businesses with colorful signage. Cars, a small truck, and motorcycles navigate the road, which features a central divider and intersections. Trees provide partial shade along the sidewalk. Pedestrians can be seen walking and crossing the street, adding to the activity. The scene captures everyday life in a bustling commercial and residential area under clear, sunny skies. The restorative indicator scores are:
- Being-away: 0.09111
- Coherence: 0.25528
- Scope: 0.43002
- Fascination: 0.68818
- Average Score: 0.36615"
D:/A_Research/A_doing_research/20250804_LLM_campus_restoration/shanghai/test//201311_114.1832046_22.5984266.png,"This image taken in Shenzhen. The street view depicts a quiet neighborhood with wide roads surrounded by lush green trees providing ample shade. An orange vehicle is visible in the foreground, along with a parked blue truck and a white car driving away. A fenced area lines the sidewalk, and a few pedestrians, including a group gathered near the trees, add life to the scene. A vivid orange bus is seen in the distance, highlighting moderate vehicular activity. Sunlight filters through the canopy, creating shadow patterns on the road, and the scene portrays a calm urban environment, blending nature and infrastructure harmoniously. The restorative indicator scores are:
- Being-away: 0.39958
- Coherence: 0.25506
- Scope: 0.22495
- Fascination: 0.33780
- Average Score: 0.30435"
D:/A_Research/A_doing_research/20250804_LLM_campus_restoration/shanghai/test//201312_113.83443584337306_22.74126975401547.png,"This image taken in Shenzhen. This image shows a street view of an urban area with multiple mid-rise residential and commercial buildings. The architecture features simple concrete exteriors, with large windows and varied colors, including beige, pink, and yellow tones. Cars, vans, and motorcycles are parked or moving, indicating light traffic. A man drives a blue van, partially visible on the lower right corner. The street is wide, clean, and lined with small green hedges. Businesses with Chinese signs are visible on the ground floor of some buildings. The scene appears quiet and orderly, suggesting a residential neighborhood in a city, lit by soft sunlight. The restorative indicator scores are:
- Being-away: 0.09367
- Coherence: 0.55711
- Scope: 0.22448
- Fascination: 0.33796
- Average Score: 0.30330"
D:/A_Research/A_doing_research/20250804_LLM_campus_restoration/shanghai/test//201312_113.85777283738314_22.642709229323334.png,"This image taken in Shenzhen. The image displays a clean, paved street with a fork leading into two directions, surrounded by lush greenery and trees. On the left are buildings and a mountain in the distant background, highlighting a serene suburban or semi-rural setting. The center features a large tree and landscaped garden area enclosed by fencing. To the right, a yellow-roofed entrance gate stands, framed by large trees. The area is bright with sunlight filtering through the tree canopy. A parked car provides a foreground perspective. Overall, the scene is tranquil and well-maintained, blending urban architecture with natural elements. The restorative indicator scores are:
- Being-away: 0.49512
- Coherence: 0.46001
- Scope: 0.53298
- Fascination: 0.33856
- Average Score: 0.45667"
